"GEO_ID","id",
"NAME","Geographic Area Name",
"B20004_001E","Estimate!!Total",
"B20004_001M","Margin of Error!!Total",
"B20004_002E","Estimate!!Total!!Less than high school graduate",
"B20004_002M","Margin of Error!!Total!!Less than high school graduate",
"B20004_003E","Estimate!!Total!!High school graduate (includes equivalency)",
"B20004_003M","Margin of Error!!Total!!High school graduate (includes equivalency)",
"B20004_004E","Estimate!!Total!!Some college or associate's degree",
"B20004_004M","Margin of Error!!Total!!Some college or associate's degree",
"B20004_005E","Estimate!!Total!!Bachelor's degree",
"B20004_005M","Margin of Error!!Total!!Bachelor's degree",
"B20004_006E","Estimate!!Total!!Graduate or professional degree",
"B20004_006M","Margin of Error!!Total!!Graduate or professional degree",
"B20004_007E","Estimate!!Total!!Male",
"B20004_007M","Margin of Error!!Total!!Male",
"B20004_008E","Estimate!!Total!!Male!!Less than high school graduate",
"B20004_008M","Margin of Error!!Total!!Male!!Less than high school graduate",
"B20004_009E","Estimate!!Total!!Male!!High school graduate (includes equivalency)",
"B20004_009M","Margin of Error!!Total!!Male!!High school graduate (includes equivalency)",
"B20004_010E","Estimate!!Total!!Male!!Some college or associate's degree",
"B20004_010M","Margin of Error!!Total!!Male!!Some college or associate's degree",
"B20004_011E","Estimate!!Total!!Male!!Bachelor's degree",
"B20004_011M","Margin of Error!!Total!!Male!!Bachelor's degree",
"B20004_012E","Estimate!!Total!!Male!!Graduate or professional degree",
"B20004_012M","Margin of Error!!Total!!Male!!Graduate or professional degree",
"B20004_013E","Estimate!!Total!!Female",
"B20004_013M","Margin of Error!!Total!!Female",
"B20004_014E","Estimate!!Total!!Female!!Less than high school graduate",
"B20004_014M","Margin of Error!!Total!!Female!!Less than high school graduate",
"B20004_015E","Estimate!!Total!!Female!!High school graduate (includes equivalency)",
"B20004_015M","Margin of Error!!Total!!Female!!High school graduate (includes equivalency)",
"B20004_016E","Estimate!!Total!!Female!!Some college or associate's degree",
"B20004_016M","Margin of Error!!Total!!Female!!Some college or associate's degree",
"B20004_017E","Estimate!!Total!!Female!!Bachelor's degree",
"B20004_017M","Margin of Error!!Total!!Female!!Bachelor's degree",
"B20004_018E","Estimate!!Total!!Female!!Graduate or professional degree",
"B20004_018M","Margin of Error!!Total!!Female!!Graduate or professional degree",
